Date,R[mm]
2015-08-05,0.15000000000000002
2015-08-06,0.0
2015-08-07,83.94999999999999
2015-08-08,0.1
2015-08-09,38.5
2015-08-10,18.2
2015-08-11,2.05
2015-08-12,2.3499999999999996
2015-08-13,0.0
2015-08-14,45.2
2015-08-15,4.6
2015-08-16,0.05
2015-08-17,18.05
2015-08-18,0.0
2015-08-19,6.15
2015-08-20,0.15000000000000002
2015-08-21,19.9
2015-08-22,0.05
2015-08-23,0.0
2015-08-24,8.1
2015-08-25,36.900000000000006
2015-08-26,5.6
2015-08-27,0.0
2015-08-28,0.0
2015-08-29,4.6
2015-08-30,0.05
2015-08-31,2.5
2015-09-01,9.75
2015-09-02,0.8
2015-09-03,16.2
2015-09-04,0.1
2015-09-05,0.3
2015-09-06,12.4
2015-09-07,0.0
2015-09-08,13.15
2015-09-09,0.0
2015-09-10,0.0
2015-09-11,4.15
2015-09-12,0.1
2015-09-13,0.0
2015-09-14,5.05
2015-09-15,14.1
2015-09-16,0.4
2015-09-17,26.0
2015-09-18,4.65
2015-09-19,2.65
2015-09-20,30.65
2015-09-21,3.6500000000000004
2015-09-22,0.05
2015-09-23,0.05
2015-09-24,0.0
2015-09-25,0.4
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,42.8
2015-09-29,0.0
2015-09-30,1.35
2015-10-01,0.0
2015-10-02,16.5
2015-10-03,0.3
2015-10-04,9.2
2015-10-05,0.05
2015-10-06,1.4
2015-10-07,0.0
2015-10-08,0.0
2015-10-09,0.0
2015-10-10,0.2
2015-10-11,2.6500000000000004
2015-10-12,0.1
2015-10-13,0.0
2015-10-14,0.0
2015-10-15,0.0
2015-10-16,0.05
2015-10-17,0.0
2015-10-18,9.75
2015-10-19,0.1
2015-10-20,8.25
2015-10-21,0.0
2015-10-22,0.0
2015-10-23,0.0
2015-10-24,0.0
2015-10-25,0.05
2015-10-26,0.0
2015-10-27,3.4000000000000004
2015-10-28,0.0
2015-10-29,0.0
2015-10-30,0.1
2015-10-31,0.0
2015-11-01,0.0
2015-11-02,0.0
2015-11-03,0.0
2015-11-04,0.0
2015-11-05,0.0
2015-11-06,0.0
2015-11-07,0.0
2015-11-08,0.0
2015-11-09,0.0
2015-11-10,0.0
2015-11-11,0.0
2015-11-12,0.0
2015-11-13,0.0
2015-11-14,0.0
2015-11-15,0.0
2015-11-16,0.0
2015-11-17,0.0
2015-11-18,0.0
2015-11-19,0.0
2015-11-20,0.0
2015-11-21,0.0
2015-11-22,0.0
2015-11-23,0.0
2015-11-24,0.0
2015-11-25,0.0
2015-11-26,0.0
2015-11-27,0.0
2015-11-28,0.0
2015-11-29,0.0
2015-11-30,0.0
2015-12-01,0.0
