Date,R[mm]
2014-06-04,0.0
2014-06-05,20.85
2014-06-06,12.399999999999999
2014-06-07,0.0
2014-06-08,0.0
2014-06-09,0.0
2014-06-10,0.0
2014-06-11,0.0
2014-06-12,0.0
2014-06-13,13.85
2014-06-14,0.1
2014-06-15,11.3
2014-06-16,0.0
2014-06-17,32.8
2014-06-18,0.5
2014-06-19,9.0
2014-06-20,0.0
2014-06-21,6.85
2014-06-22,27.5
2014-06-23,0.0
2014-06-24,0.15000000000000002
2014-06-25,0.0
2014-06-26,0.0
2014-06-27,0.0
2014-06-28,5.1
2014-06-29,2.25
2014-06-30,0.0
2014-07-01,4.65
2014-07-02,1.25
2014-07-03,3.25
2014-07-04,18.25
2014-07-05,0.0
2014-07-06,0.0
2014-07-07,18.0
2014-07-08,0.0
2014-07-09,0.05
2014-07-10,0.0
2014-07-11,0.0
2014-07-12,0.0
2014-07-13,0.45
2014-07-14,1.95
2014-07-15,0.0
2014-07-16,0.0
2014-07-17,0.0
2014-07-18,5.5
2014-07-19,0.0
2014-07-20,0.0
2014-07-21,0.0
2014-07-22,0.0
2014-07-23,15.5
2014-07-24,16.2
2014-07-25,0.1
2014-07-26,4.5
2014-07-27,0.1
2014-07-28,0.0
2014-07-29,0.0
2014-07-30,6.6
2014-07-31,0.2
2014-08-01,25.3
2014-08-02,6.8
2014-08-03,1.0
2014-08-04,11.0
2014-08-05,0.3
2014-08-06,0.0
2014-08-07,0.0
2014-08-08,0.0
2014-08-09,0.0
2014-08-10,0.0
2014-08-11,0.0
2014-08-12,0.0
2014-08-13,0.0
2014-08-14,0.0
2014-08-15,13.3
2014-08-16,0.4
2014-08-17,2.7
2014-08-18,0.44999999999999996
2014-08-19,28.6
2014-08-20,5.4
2014-08-21,0.6499999999999999
2014-08-22,4.75
2014-08-23,42.95
2014-08-24,0.0
2014-08-25,0.0
2014-08-26,21.2
2014-08-27,0.0
2014-08-28,0.0
2014-08-29,0.0
2014-08-30,11.35
2014-08-31,0.1
2014-09-01,17.549999999999997
2014-09-02,35.099999999999994
2014-09-03,0.8
2014-09-04,0.0
2014-09-05,12.15
2014-09-06,0.2
2014-09-07,0.4
2014-09-08,1.25
2014-09-09,10.1
2014-09-10,11.75
2014-09-11,0.05
2014-09-12,0.05
2014-09-13,0.0
2014-09-14,35.2
2014-09-15,0.05
2014-09-16,20.0
2014-09-17,0.0
2014-09-18,0.6499999999999999
2014-09-19,3.0
2014-09-20,0.0
